delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,3,2,38,5,263.566597700119,,263.55217700009234,263.566597700119,264.5666259001009,264.5666259001009,264.5666259001009,265.16779340012,space,0.5932171999011189,None,265.1682746000588,265.8834892667985,,266.1353394999169,266.1353657001164,266.14927670010366,266.14927670010366,266.14927670010366,268.30143960006535,400,1,[2.164375700056553],[2.164389899931848],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,3,3,39,11,268.3168762999121,,268.30315080005676,268.3168762999121,269.3187208001036,269.3187208001036,269.3187208001036,270.4358049000148,space,1.1145522000733763,None,270.4362441999838,271.1353809666509,271.46680560009554,271.43297399999574,271.43304120004177,271.46680560009554,271.46680560009554,271.46680560009554,273.26901259995066,400,1,[1.832664400106296],[1.832680300110951],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,3,4,40,3,273.28467030008323,,273.2705556000583,273.28467030008323,274.28513720002957,274.28513720002957,274.28513720002957,274.63693409995176,space,0.3381258000154048,None,274.6379803000018,274.7516894667099,275.08337439992465,275.05155829992145,275.0516057999339,275.08337439992465,275.08337439992465,275.08337439992465,277.70313909999095,300,1,[2.648847999982536],[2.648863699985668],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,400,unexp,3,5,41,2,277.71810359996744,,277.7046471000649,277.71810359996744,278.7172934000846,278.7172934000846,278.7172934000846,279.6679629001301,space,0.9359865000005811,None,279.6684213001281,280.3681348667635,280.68338950001635,280.6618407999631,280.6619172000792,280.68338950001635,280.68338950001635,280.68338950001635,283.8183852999937,400,1,[3.1542366999201477],[3.154243699973449],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,3,6,42,9,283.83310639997944,,283.8189737999346,283.83310639997944,284.81831469992176,284.81831469992176,284.8358507999219,285.6039179000072,space,0.7730708001181483,None,285.6047879999969,285.7181936666059,286.0501771001145,286.01135820010677,286.0113989999518,286.0501771001145,286.0501771001145,286.0501771001145,288.00105650001206,200,1,[1.9878187999129295],[1.9878248998429626],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,400,unexp,3,7,43,1,288.01686600013636,,288.00170570006594,288.01686600013636,289.0018627999816,289.0018627999816,289.01901879999787,290.12068459996954,space,1.1039596998598427,None,290.1216907000635,290.5349461667395,290.86691799992695,290.8321752999909,290.83224170003086,290.86691799992695,290.86691799992695,290.86691799992695,292.42014760011807,100,1,[1.584060400025919],[1.5840757000260055],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,400,unexp,3,8,44,0,292.4345706999302,,292.42189530003816,292.4345706999302,293.4346988000907,293.4346988000907,293.4346988000907,294.2700026000384,space,0.8259809000883251,None,294.27092769998126,294.38571236661323,294.7166355000809,294.6813207999803,294.6813898999244,294.7166355000809,294.7166355000809,294.7166355000809,296.8196930999402,100,1,[2.1341591000091285],[2.1341832000762224],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,3,9,45,8,296.8357794000767,,296.821387300035,296.8357794000767,297.83563470002264,297.83563470002264,297.83563470002264,298.72062460007146,space,0.8796480000019073,None,298.721532399999,299.43544006679826,299.76728609995916,299.7314480000641,299.7315076999366,299.76728609995916,299.76728609995916,299.76728609995916,302.1364362000022,300,1,[2.400837100110948],[2.4008543000090867],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,3,10,46,6,302.15186939993873,,302.1380755000282,302.15186939993873,303.1522665999364,303.1522665999364,303.1522665999364,304.12095770007,space,0.9645654000341892,None,304.12202919996344,304.2352447666383,304.56674559996463,304.53121960000135,304.53127450007014,304.56674559996463,304.56674559996463,304.56674559996463,306.85436429991387,100,1,[2.3196650000754744],[2.31968230009079],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.4,1000,exp,3,11,47,7,306.86793170007877,,306.8558837000746,306.86793170007877,307.8691002000123,307.8691002000123,307.8691002000123,308.5873644000385,space,0.7121202000416815,None,308.58822369994596,309.0018717665846,309.31697449996136,309.3025724000763,309.30260429996997,309.31697449996136,309.31697449996136,309.31697449996136,311.385536900023,200,1,[2.080900900065899],[2.080919000087306],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.1,1000,exp,4,0,48,3,311.40132219996303,,311.387115099933,311.40132219996303,312.40191389992833,312.40191389992833,312.40191389992833,312.9541772000957,space,0.5356894000433385,None,312.9551659999415,313.0686907666425,313.41681340010837,313.38766140001826,313.3878373000771,313.41681340010837,313.41681340010837,313.41681340010837,315.485275400104,100,1,[2.094321900047362],[2.0943370999302715],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,1000,exp,4,1,49,8,315.5016576999333,,315.48683880013414,315.5016576999333,316.4856656000484,316.4856656000484,316.5029901000671,317.2538948999718,space,0.750858600018546,None,317.2550017000176,317.97039786662594,318.2998427001294,318.26964109996334,318.26968790008686,318.2998427001294,318.2998427001294,318.2998427001294,320.85327080008574,300,1,[2.5806690000463277],[2.5806843999307603],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
0.7,400,unexp,4,2,50,2,320.8680086999666,,320.8548560999334,320.8680086999666,321.86825200007297,321.86825200007297,321.86825200007297,322.30582499993034,space,0.4328220000024885,None,322.30675560003147,323.0189883667665,323.33353199996054,323.31189469993114,323.311941599939,323.33353199996054,323.33353199996054,323.33353199996054,326.1528744001407,200,1,[2.838470600079745],[2.8384901999961585],712514,001,2024-11-14_16h04.43.786,intentional binding,2024.1.5,None,2024-11-14 16h04.47.895805 +0530,
